time,cx,cy,px,py,theta,v,omega
1774377074.947972,1909,653,1847,356,-0.20579872339752775,101.4268372306725,52.41064553510775
1774377074.983947,1909,653,1915,450,0.029548047901893776,0.0,6.541957082962747
1774377075.015976,1909,653,791,928,-1.8119831395465467,0.0,-57.495899371290115
1774377075.05224,1909,653,783,925,-1.807818708898704,0.0,0.11483667620391984
1774377075.075488,1909,653,632,858,-1.7299707521656822,0.0,3.3485590843722775
1774377075.1166441,1909,653,783,932,-1.8136842549375627,0.0,-2.0340507790483744
1774377075.149965,1909,653,1909,443,0.0,0.0,54.43082417623062
1774377075.181685,23,252,1774,255,1.5725096318003708,-59457.899656502035,49.57482497161686
1774377075.214255,23,252,1755,406,1.659477668207112,0.0,2.6701782677052015
1774377075.254317,23,252,625,860,2.361153127236772,0.0,17.514760191570293
1774377075.31978,23,252,777,939,2.309732462678885,0.0,-0.7854912337667513
1774377075.348688,23,252,655,898,2.367148668614414,0.0,1.9861855224021259
1774377075.3819258,23,252,1913,429,1.6641747650320349,0.0,-21.14974718952146
1774377075.415947,23,252,635,879,2.3683004362966105,0.0,20.696710602948208
1774377075.449229,23,252,767,942,2.3185553709929563,0.0,-1.4946518599045666
1774377075.477705,23,252,1910,556,1.7305261685515658,0.0,-20.649993183994354
1774377075.51596,23,252,1912,518,1.7106917531136911,0.0,-0.5184793553797031
1774377075.55088,23,252,534,729,2.321795109613835,0.0,17.50010755185184
1774377075.581318,23,252,1908,450,1.6754523381862048,0.0,-21.234769410571303
1774377075.617399,23,252,1897,451,1.6765898300945952,0.0,0.03152599769603546
1774377075.649889,23,252,1891,458,1.68063088979264,0.0,0.12437851119259553
1774377075.6765928,23,252,1881,531,1.7198441816062817,0.0,1.4684517223235276
1774377075.717094,23,252,1890,530,1.7186122453732477,0.0,-0.030417339145244787
1774377075.7475982,23,252,1864,535,1.7233232012130604,0.0,0.1544361667819472
1774377075.783733,672,622,1876,363,1.3589090278795157,17960.565426233836,-10.084876120807467
1774377075.814313,668,626,1871,359,1.35239144217703,-130.8042600302506,-0.21313199374934666
1774377075.852641,666,628,1868,538,1.4960605742230997,-52.180940532470764,3.748395217823826
1774377075.9190469,660,630,1834,545,1.4985203979337183,-90.35358997005666,0.03704231715797592
1774377075.986857,656,630,1849,471,1.4382997003346578,-58.988298829882986,-0.8880791264293488
1774377076.056763,652,630,1868,184,1.219254881750231,-57.21969802903751,-3.1334195935565528
1774377076.117643,652,631,1898,205,1.2413610053303772,0.0,0.3631086843810532
1774377076.147379,651,630,1815,558,1.509019365234547,-33.62949302843948,9.001214948400822
1774377076.184608,651,630,1861,207,1.2344896823482732,0.0,-7.374069465569194
1774377076.213642,651,631,1897,214,1.247842403544703,0.0,0.4599010644462491
1774377076.254123,651,631,1895,223,1.2538766526922307,0.0,0.14906340383103583
1774377076.320936,652,631,1853,576,1.5250331297220234,14.967148882719442,4.058439362218603
1774377076.387739,652,630,1907,241,1.2702270047922355,0.0,-3.8142928742344866
1774377076.4577181,652,631,1901,234,1.2630409975916763,0.0,-0.10268777211763033
1774377076.519267,651,631,1901,240,1.2676381721593637,-16.247231314520345,0.07469135859444692
1774377076.588192,652,631,1835,387,1.3673933704677346,14.50854399291575,1.4473026831790337
1774377076.657991,651,630,1892,223,1.253888349556301,-14.326863826095273,-1.6261709781762066
1774377076.721366,652,631,1900,241,1.2679114584199251,15.779093651952117,0.22127194805064662
1774377076.786968,651,631,1818,501,1.4598569651225155,-15.243422798059276,2.9259065128553052
1774377076.857205,652,630,1501,984,1.9658383245626512,14.237526095147576,7.203922808687176
1774377076.921834,652,631,1860,248,1.2637689410435557,0.0,-10.863057407097973
1774377076.989265,652,630,1839,243,1.2556312901626574,0.0,-0.12068120201238738
1774377077.057792,651,630,1304,1057,2.149911855394357,-14.592791808588736,13.05005010689325
1774377077.121862,651,631,1731,511,1.460139105621001,0.0,-10.765926280622436
1774377077.188791,651,628,1727,516,1.467080602948185,0.0,0.10371418599035322
1774377077.2582421,651,631,1722,604,1.5455915814679548,0.0,1.1304498513533665
1774377077.321472,651,628,1912,624,1.5676242517878298,0.0,0.3484539026539204
1774377077.3883362,651,630,1821,291,1.288775440040917,0.0,-4.170372105107607
1774377077.457109,652,631,1714,414,1.3692394014236726,14.540633861898257,1.1699970015445695
1774377077.523069,651,629,1751,246,1.2357421858644184,-15.160719449424557,-2.0239138323732075
1774377077.589932,651,630,542,164,-0.22977456362460477,0.0,-21.918182469401405
1774377077.6585448,651,630,1792,262,1.2588054203100374,0.0,21.69536414915754
1774377077.722795,651,630,1844,298,1.299373985872444,0.0,0.6314150947646969
1774377077.7897868,651,630,1795,243,1.2445943747247314,0.0,-0.8177061404040636
1774377077.8603158,652,630,1829,270,1.2739699341186423,14.17856804813738,0.416503367818667
1774377077.9224808,652,631,1741,527,1.4755846213246626,0.0,3.243217504887875
1774377077.99046,652,629,1826,265,1.2701440309093843,0.0,-3.0221141258786965
